Company Name,Date,Open,High,Low,Close,Adj Close,Volume
Alphabet Inc.,2/26/2024,143.449997,143.839996,138.740005,138.75,138.75,33513000
Alphabet Inc.,2/27/2024,139.410004,140.490005,138.5,140.100006,140.100006,22364000
Alphabet Inc.,2/28/2024,139.100006,139.279999,136.639999,137.429993,137.429993,30628700
Alphabet Inc.,2/29/2024,138.350006,139.949997,137.570007,139.779999,139.779999,35485000
Alphabet Inc.,3/1/2024,139.610001,140,137.975006,138.080002,138.080002,28522000
Alphabet Inc.,3/4/2024,136.539993,136.630005,132.860001,134.199997,134.199997,43571500
Alphabet Inc.,3/5/2024,132.740005,134.020004,131.550003,133.779999,133.779999,28447600
Alphabet Inc.,3/6/2024,134.240005,134.740005,131.949997,132.559998,132.559998,23175200
Alphabet Inc.,3/7/2024,133.889999,135.820007,132.660004,135.240005,135.240005,24107300
Alphabet Inc.,3/8/2024,135.035004,138.985001,134.800003,136.289993,136.289993,26472400
Alphabet Inc.,3/11/2024,137.070007,139.979996,137.070007,138.940002,138.940002,22536400
Alphabet Inc.,3/12/2024,138.25,140.279999,138.210007,139.619995,139.619995,19019700
Alphabet Inc.,3/13/2024,140.059998,142.190002,140.009995,140.770004,140.770004,19637000
Alphabet Inc.,3/14/2024,142.300003,144.729996,141.485001,144.339996,144.339996,36117900
Alphabet Inc.,3/15/2024,143.410004,144.339996,141.130005,142.169998,142.169998,41025900
Alphabet Inc.,3/18/2024,149.369995,152.929993,148.139999,148.479996,148.479996,47676700
Alphabet Inc.,3/19/2024,148.979996,149.619995,147.009995,147.919998,147.919998,17748400
Alphabet Inc.,3/20/2024,148.789993,149.759995,147.664993,149.679993,149.679993,17730000
Alphabet Inc.,3/21/2024,150.320007,151.304993,148.009995,148.740005,148.740005,19843900
Alphabet Inc.,3/22/2024,150.240005,152.559998,150.089996,151.770004,151.770004,19226300
Alphabet Inc.,3/25/2024,150.949997,151.455994,148.800003,151.149994,151.149994,15114700
Alphabet Inc.,3/26/2024,151.240005,153.199997,151.029999,151.699997,151.699997,19312700
Alphabet Inc.,3/27/2024,152.145004,152.690002,150.130005,151.940002,151.940002,16622000
Alphabet Inc.,3/28/2024,152,152.669998,151.330002,152.259995,152.259995,21105600
Alphabet Inc.,4/1/2024,151.830002,157,151.649994,156.5,156.5,24469800
Alphabet Inc.,4/2/2024,154.75,155.990005,153.460007,155.869995,155.869995,17598100
Alphabet Inc.,4/3/2024,154.919998,156.550003,154.132004,156.369995,156.369995,17266200
Alphabet Inc.,4/4/2024,155.080002,156.179993,151.880005,151.940002,151.940002,24184800
Alphabet Inc.,4/5/2024,151.679993,154.839996,151.080994,153.940002,153.940002,16289800
Alphabet Inc.,4/8/2024,154.014999,156.654999,153.990005,156.139999,156.139999,16641500
Alphabet Inc.,4/9/2024,157.350006,159.889999,156.639999,158.139999,158.139999,21538100
Alphabet Inc.,4/10/2024,157.880005,158.160004,156.199997,157.660004,157.660004,16339200
Alphabet Inc.,4/11/2024,158.339996,161.119995,157.929993,160.789993,160.789993,17841700
Alphabet Inc.,4/12/2024,159.404999,161.699997,158.600006,159.190002,159.190002,16968200
Alphabet Inc.,4/15/2024,160.279999,160.830002,156.149994,156.330002,156.330002,21140900
Alphabet Inc.,4/16/2024,155.639999,157.229996,155.050003,156,156,15413200
Alphabet Inc.,4/17/2024,157.190002,158.681,156.134995,156.880005,156.880005,16237800
Alphabet Inc.,4/18/2024,156.925003,158.485001,156.210007,157.460007,157.460007,14016100
Alphabet Inc.,4/19/2024,157.75,157.990005,153.910004,155.720001,155.720001,20063900
Alphabet Inc.,4/22/2024,156.009995,159.184998,155.660004,157.949997,157.949997,17243900
Alphabet Inc.,4/23/2024,158.589996,160.479996,157.964996,159.919998,159.919998,16115400
Alphabet Inc.,4/24/2024,159.089996,161.389999,158.820007,161.100006,161.100006,19485700
Alphabet Inc.,4/25/2024,153.360001,158.279999,152.768005,157.949997,157.949997,36197800
Alphabet Inc.,4/26/2024,175.990005,176.419998,171.399994,173.690002,173.690002,56500800
Alphabet Inc.,4/29/2024,170.770004,171.380005,167.059998,167.899994,167.899994,35914600
Alphabet Inc.,4/30/2024,167.380005,169.869995,164.5,164.639999,164.639999,29420800
Alphabet Inc.,5/1/2024,166.179993,168.809998,164.899994,165.570007,165.570007,25223200
Alphabet Inc.,5/2/2024,166.669998,168.529999,165.690002,168.460007,168.460007,16836892
Amazon Inc.,2/26/2024,175.699997,176.369995,174.259995,174.729996,174.729996,44368600
Amazon Inc.,2/27/2024,174.080002,174.619995,172.860001,173.539993,173.539993,31141700
Amazon Inc.,2/28/2024,172.440002,174.050003,172.270004,173.160004,173.160004,28180500
Amazon Inc.,2/29/2024,173.009995,177.220001,172.850006,176.759995,176.759995,53805400
Amazon Inc.,3/1/2024,176.75,178.729996,176.070007,178.220001,178.220001,31956200
Amazon Inc.,3/4/2024,177.529999,180.139999,177.490005,177.580002,177.580002,37381500
Amazon Inc.,3/5/2024,176.929993,176.929993,173.300003,174.119995,174.119995,37228300
Amazon Inc.,3/6/2024,175.539993,176.460007,173.259995,173.509995,173.509995,32090900
Amazon Inc.,3/7/2024,174.830002,177.990005,173.720001,176.820007,176.820007,34063300
Amazon Inc.,3/8/2024,176.440002,178.789993,174.330002,175.350006,175.350006,37853500
Amazon Inc.,3/11/2024,174.309998,174.470001,171.470001,171.960007,171.960007,28484800
Amazon Inc.,3/12/2024,173.5,176.759995,171.979996,175.389999,175.389999,36610600
Amazon Inc.,3/13/2024,175.899994,177.619995,175.550003,176.559998,176.559998,30772600
Amazon Inc.,3/14/2024,177.690002,179.529999,176.470001,178.75,178.75,43705800
Amazon Inc.,3/15/2024,176.639999,177.929993,173.899994,174.419998,174.419998,72115500
Amazon Inc.,3/18/2024,175.800003,176.690002,174.279999,174.479996,174.479996,31250700
Amazon Inc.,3/19/2024,174.220001,176.089996,173.520004,175.899994,175.899994,26880900
Amazon Inc.,3/20/2024,176.139999,178.529999,174.639999,178.149994,178.149994,29947200
Amazon Inc.,3/21/2024,179.990005,181.419998,178.149994,178.149994,178.149994,32824300
Amazon Inc.,3/22/2024,177.75,179.259995,176.75,178.869995,178.869995,27964100
Amazon Inc.,3/25/2024,178.009995,180.990005,177.240005,179.710007,179.710007,29815500
Amazon Inc.,3/26/2024,180.149994,180.449997,177.949997,178.300003,178.300003,29659000
Amazon Inc.,3/27/2024,179.880005,180,177.309998,179.830002,179.830002,33272600
Amazon Inc.,3/28/2024,180.169998,181.699997,179.259995,180.380005,180.380005,38051600
Amazon Inc.,4/1/2024,180.789993,183,179.949997,180.970001,180.970001,29174500
Amazon Inc.,4/2/2024,179.070007,180.789993,178.380005,180.690002,180.690002,32611500
Amazon Inc.,4/3/2024,179.899994,182.869995,179.800003,182.410004,182.410004,31046600
Amazon Inc.,4/4/2024,184,185.100006,180,180,180,41624300
Amazon Inc.,4/5/2024,182.380005,186.270004,181.970001,185.070007,185.070007,42335200
Amazon Inc.,4/8/2024,186.899994,187.289993,184.809998,185.190002,185.190002,39221300
Amazon Inc.,4/9/2024,187.240005,187.339996,184.199997,185.669998,185.669998,36546900
Amazon Inc.,4/10/2024,182.770004,186.270004,182.669998,185.949997,185.949997,35879200
Amazon Inc.,4/11/2024,186.740005,189.770004,185.509995,189.050003,189.050003,40020700
Amazon Inc.,4/12/2024,187.720001,188.380005,185.080002,186.130005,186.130005,38554300
Amazon Inc.,4/15/2024,187.429993,188.690002,183,183.619995,183.619995,48052400
Amazon Inc.,4/16/2024,183.270004,184.830002,182.259995,183.320007,183.320007,32891300
Amazon Inc.,4/17/2024,184.309998,184.570007,179.820007,181.279999,181.279999,31359700
Amazon Inc.,4/18/2024,181.470001,182.389999,178.649994,179.220001,179.220001,30723800
Amazon Inc.,4/19/2024,178.740005,179,173.440002,174.630005,174.630005,55950000
Amazon Inc.,4/22/2024,176.940002,178.869995,174.559998,177.229996,177.229996,37924900
Amazon Inc.,4/23/2024,178.080002,179.929993,175.979996,179.539993,179.539993,37046500
Amazon Inc.,4/24/2024,179.940002,180.320007,176.179993,176.589996,176.589996,34185100
Amazon Inc.,4/25/2024,169.679993,173.919998,166.320007,173.669998,173.669998,49249400
Amazon Inc.,4/26/2024,177.800003,180.820007,176.130005,179.619995,179.619995,43919800
Amazon Inc.,4/29/2024,182.75,183.529999,179.389999,180.960007,180.960007,54063900
Amazon Inc.,4/30/2024,181.089996,182.990005,174.800003,175,175,94639800
Amazon Inc.,5/1/2024,181.639999,185.149994,176.559998,179,179,94645100
Amazon Inc.,5/2/2024,180.850006,185.089996,179.910294,184.720001,184.720001,53093203
Apple Inc.,2/26/2024,182.240005,182.759995,180.649994,181.160004,181.160004,40867400
Apple Inc.,2/27/2024,181.100006,183.919998,179.559998,182.630005,182.630005,54318900
Apple Inc.,2/28/2024,182.509995,183.119995,180.130005,181.419998,181.419998,48953900
Apple Inc.,2/29/2024,181.270004,182.570007,179.529999,180.75,180.75,136682600
Apple Inc.,3/1/2024,179.550003,180.529999,177.380005,179.660004,179.660004,73488000
Apple Inc.,3/4/2024,176.149994,176.899994,173.789993,175.100006,175.100006,81510100
Apple Inc.,3/5/2024,170.759995,172.039993,169.619995,170.119995,170.119995,95132400
Apple Inc.,3/6/2024,171.059998,171.240005,168.679993,169.119995,169.119995,68587700
Apple Inc.,3/7/2024,169.149994,170.729996,168.490005,169,169,71765100
Apple Inc.,3/8/2024,169,173.699997,168.940002,170.729996,170.729996,76114600
Apple Inc.,3/11/2024,172.940002,174.380005,172.050003,172.75,172.75,60139500
Apple Inc.,3/12/2024,173.149994,174.029999,171.009995,173.229996,173.229996,59825400
Apple Inc.,3/13/2024,172.770004,173.190002,170.759995,171.130005,171.130005,52488700
Apple Inc.,3/14/2024,172.910004,174.309998,172.050003,173,173,72913500
Apple Inc.,3/15/2024,171.169998,172.619995,170.289993,172.619995,172.619995,121664700
Apple Inc.,3/18/2024,175.570007,177.710007,173.520004,173.720001,173.720001,75604200
Apple Inc.,3/19/2024,174.339996,176.610001,173.029999,176.080002,176.080002,55215200
Apple Inc.,3/20/2024,175.720001,178.669998,175.089996,178.669998,178.669998,53423100
Apple Inc.,3/21/2024,177.050003,177.490005,170.839996,171.369995,171.369995,106181300
Apple Inc.,3/22/2024,171.759995,173.050003,170.059998,172.279999,172.279999,71106600
Apple Inc.,3/25/2024,170.570007,171.940002,169.449997,170.850006,170.850006,54288300
Apple Inc.,3/26/2024,170,171.419998,169.580002,169.710007,169.710007,57388400
Apple Inc.,3/27/2024,170.410004,173.600006,170.110001,173.309998,173.309998,60273300
Apple Inc.,3/28/2024,171.75,172.229996,170.509995,171.479996,171.479996,65672700
Apple Inc.,4/1/2024,171.190002,171.25,169.479996,170.029999,170.029999,46240500
Apple Inc.,4/2/2024,169.080002,169.339996,168.229996,168.839996,168.839996,49329500
Apple Inc.,4/3/2024,168.789993,170.679993,168.580002,169.649994,169.649994,47691700
Apple Inc.,4/4/2024,170.289993,171.919998,168.820007,168.820007,168.820007,53704400
Apple Inc.,4/5/2024,169.589996,170.389999,168.949997,169.580002,169.580002,42055200
Apple Inc.,4/8/2024,169.029999,169.199997,168.240005,168.449997,168.449997,37425500
Apple Inc.,4/9/2024,168.699997,170.080002,168.350006,169.669998,169.669998,42451200
Apple Inc.,4/10/2024,168.800003,169.089996,167.110001,167.779999,167.779999,49709300
Apple Inc.,4/11/2024,168.339996,175.460007,168.160004,175.039993,175.039993,91070300
Apple Inc.,4/12/2024,174.259995,178.360001,174.210007,176.550003,176.550003,101593300
Apple Inc.,4/15/2024,175.360001,176.630005,172.5,172.690002,172.690002,73531800
Apple Inc.,4/16/2024,171.75,173.759995,168.270004,169.380005,169.380005,73711200
Apple Inc.,4/17/2024,169.610001,170.649994,168,168,168,50901200
Apple Inc.,4/18/2024,168.029999,168.639999,166.550003,167.039993,167.039993,43122900
Apple Inc.,4/19/2024,166.210007,166.399994,164.080002,165,165,67772100
Apple Inc.,4/22/2024,165.520004,167.259995,164.770004,165.839996,165.839996,48116400
Apple Inc.,4/23/2024,165.350006,167.050003,164.919998,166.899994,166.899994,49537800
Apple Inc.,4/24/2024,166.539993,169.300003,166.210007,169.020004,169.020004,48251800
Apple Inc.,4/25/2024,169.529999,170.610001,168.149994,169.889999,169.889999,50558300
Apple Inc.,4/26/2024,169.880005,171.339996,169.179993,169.300003,169.300003,44838400
Apple Inc.,4/29/2024,173.369995,176.029999,173.100006,173.5,173.5,68169400
Apple Inc.,4/30/2024,173.330002,174.990005,170,170.330002,170.330002,65934800
Apple Inc.,5/1/2024,169.580002,172.710007,169.110001,169.300003,169.300003,50383100
Apple Inc.,5/2/2024,172.509995,173.414993,170.889999,173.029999,173.029999,70883853
Meta Platforms Inc.,2/26/2024,483.470001,486.140015,480.600006,481.73999,481.73999,12101400
Meta Platforms Inc.,2/27/2024,479.980011,487.269989,479.920013,487.049988,487.049988,10809600
Meta Platforms Inc.,2/28/2024,485,491.049988,482.75,484.019989,484.019989,12715500
Meta Platforms Inc.,2/29/2024,488.440002,491.700012,482.609985,490.130005,490.130005,17732000
Meta Platforms Inc.,3/1/2024,492.109985,504.25,491.850006,502.299988,502.299988,16273600
Meta Platforms Inc.,3/4/2024,503,504.420013,496.420013,498.190002,498.190002,12324100
Meta Platforms Inc.,3/5/2024,495,495.579987,487.890015,490.220001,490.220001,15325300
Meta Platforms Inc.,3/6/2024,497.630005,502.970001,494.290009,496.089996,496.089996,11757900
Meta Platforms Inc.,3/7/2024,503.279999,519.849976,501.380005,512.190002,512.190002,18586400
Meta Platforms Inc.,3/8/2024,514.190002,523.570007,499.350006,505.950012,505.950012,18575200
Meta Platforms Inc.,3/11/2024,497.01001,497.320007,476,483.589996,483.589996,20428300
Meta Platforms Inc.,3/12/2024,493.26001,502.309998,484.730011,499.75,499.75,15448200
Meta Platforms Inc.,3/13/2024,495.390015,500.980011,491.029999,495.570007,495.570007,12090700
Meta Platforms Inc.,3/14/2024,500.26001,501.350006,488.160004,491.829987,491.829987,12620000
Meta Platforms Inc.,3/15/2024,489.01001,491.829987,481.299988,484.100006,484.100006,29141700
Meta Platforms Inc.,3/18/2024,491.910004,497.420013,486.809998,496.980011,496.980011,11755300
Meta Platforms Inc.,3/19/2024,488.170013,496.630005,481.279999,496.23999,496.23999,10903100
Meta Platforms Inc.,3/20/2024,499.5,508.200012,495.170013,505.519989,505.519989,11711100
Meta Platforms Inc.,3/21/2024,514.710022,515.039978,506.01001,507.76001,507.76001,9712500
Meta Platforms Inc.,3/22/2024,507,509.970001,504.339996,509.579987,509.579987,8117000
Meta Platforms Inc.,3/25/2024,505.790009,507.220001,500.23999,503.019989,503.019989,8380600
Meta Platforms Inc.,3/26/2024,505.130005,510,495.209991,495.890015,495.890015,11205400
Meta Platforms Inc.,3/27/2024,499.299988,499.890015,488.070007,493.859985,493.859985,9989700
Meta Platforms Inc.,3/28/2024,492.839996,492.890015,485.149994,485.579987,485.579987,15212800
Meta Platforms Inc.,4/1/2024,487.200012,497.429993,481.779999,491.350006,491.350006,9247000
Meta Platforms Inc.,4/2/2024,485.100006,497.529999,484.649994,497.369995,497.369995,11081000
Meta Platforms Inc.,4/3/2024,498.929993,507.23999,498.75,506.73999,506.73999,12099200
Meta Platforms Inc.,4/4/2024,516.419983,530,510.579987,510.920013,510.920013,26476300
Meta Platforms Inc.,4/5/2024,516.859985,530.700012,514.409973,527.340027,527.340027,19242000
Meta Platforms Inc.,4/8/2024,529.280029,531.48999,518.890015,519.25,519.25,13260600
Meta Platforms Inc.,4/9/2024,522.22998,525.869995,506.73999,516.900024,516.900024,10881400
Meta Platforms Inc.,4/10/2024,509.290009,522.559998,505.799988,519.830017,519.830017,11418500
Meta Platforms Inc.,4/11/2024,521.109985,523.859985,517.289978,523.159973,523.159973,10369500
Meta Platforms Inc.,4/12/2024,517.75,520.190002,509.329987,511.899994,511.899994,11944900
Meta Platforms Inc.,4/15/2024,516.719971,518.530029,497.279999,500.230011,500.230011,13512900
Meta Platforms Inc.,4/16/2024,498.109985,504.769989,497.109985,499.76001,499.76001,9847900
Meta Platforms Inc.,4/17/2024,503.100006,503.160004,487.140015,494.170013,494.170013,12193700
Meta Platforms Inc.,4/18/2024,499.820007,512.210022,499.040009,501.799988,501.799988,14808700
Meta Platforms Inc.,4/19/2024,502.799988,502.799988,475.730011,481.070007,481.070007,25111000
Meta Platforms Inc.,4/22/2024,489.720001,492.01001,473.399994,481.730011,481.730011,17271100
Meta Platforms Inc.,4/23/2024,491.25,498.76001,488.970001,496.100006,496.100006,15079200
Meta Platforms Inc.,4/24/2024,508.059998,510,484.579987,493.5,493.5,37772700
Meta Platforms Inc.,4/25/2024,421.399994,445.769989,414.5,441.380005,441.380005,82890700
Meta Platforms Inc.,4/26/2024,441.459991,446.440002,431.959991,443.290009,443.290009,32691400
Meta Platforms Inc.,4/29/2024,439.559998,439.76001,428.559998,432.619995,432.619995,21502600
Meta Platforms Inc.,4/30/2024,431.049988,439.619995,429.720001,430.170013,430.170013,18429500
Meta Platforms Inc.,5/1/2024,428.600006,449.959991,427.109985,439.190002,439.190002,20344900
Meta Platforms Inc.,5/2/2024,438.839996,443.959991,432.279999,441.679993,441.679993,14693362
Netflix Inc.,2/26/2024,583.559998,590.75,583.27002,587.650024,587.650024,2393700
Netflix Inc.,2/27/2024,595,605.359985,592.330017,601.669983,601.669983,4489400
Netflix Inc.,2/28/2024,595.789978,598.169983,590.01001,596.47998,596.47998,2605200
Netflix Inc.,2/29/2024,604.25,604.52002,595.159973,602.919983,602.919983,3572100
Netflix Inc.,3/1/2024,599.809998,620.280029,599.5,619.340027,619.340027,4264200
Netflix Inc.,3/4/2024,621.559998,624.419983,615.080017,615.830017,615.830017,3020300
Netflix Inc.,3/5/2024,610.099976,610.909973,592,598.5,598.5,3849600
Netflix Inc.,3/6/2024,602.98999,607.929993,593.559998,597.690002,597.690002,2469600
Netflix Inc.,3/7/2024,599.340027,610.530029,595.900024,608.51001,608.51001,2742800
Netflix Inc.,3/8/2024,608.27002,616.090027,600.840027,604.820007,604.820007,2774600
Netflix Inc.,3/11/2024,608.080017,611,600.369995,600.929993,600.929993,2500900
Netflix Inc.,3/12/2024,600.210022,615.299988,596.27002,611.080017,611.080017,2821600
Netflix Inc.,3/13/2024,613.369995,614.849976,607.210022,609.450012,609.450012,2192100
